code,category,long_description,short_description
00000,,,Invalid Code
0001F,2,,Composite measures
0002F,2,,Composite measures
0003F,2,,Composite measures
0004F,2,,Composite measures
0005F,2,,Composite measures
0006F,2,,Composite measures
0007F,2,,Composite measures
0008F,2,,Composite measures
0009F,2,,Composite measures
00100,1,,Head
00101,1,,Head
00102,1,,Head
00103,1,,Head
00104,1,,Head
00105,1,,Head
00106,1,,Head
00107,1,,Head
00108,1,,Head
00109,1,,Head
0010F,2,,Composite measures
00110,1,,Head
00111,1,,Head
00112,1,,Head
00113,1,,Head
00114,1,,Head
00115,1,,Head
00116,1,,Head
00117,1,,Head
00118,1,,Head
00119,1,,Head
0011F,2,,Composite measures
00120,1,,Head
00121,1,,Head
00122,1,,Head
00123,1,,Head
00124,1,,Head
00125,1,,Head
00126,1,,Head
00127,1,,Head
00128,1,,Head
00129,1,,Head
0012F,2,,Composite measures
00130,1,,Head
00131,1,,Head
00132,1,,Head
00133,1,,Head
00134,1,,Head
00135,1,,Head
00136,1,,Head
00137,1,,Head
00138,1,,Head
00139,1,,Head
0013F,2,,Composite measures
00140,1,,Head
00141,1,,Head
00142,1,,Head
00143,1,,Head
00144,1,,Head
00145,1,,Head
00146,1,,Head
00147,1,,Head
00148,1,,Head
00149,1,,Head
0014F,2,,Composite measures
00150,1,,Head
00151,1,,Head
00152,1,,Head
00153,1,,Head
00154,1,,Head
00155,1,,Head
00156,1,,Head
00157,1,,Head
00158,1,,Head
00159,1,,Head
0015F,2,,Composite measures
00160,1,,Head
00161,1,,Head
00162,1,,Head
00163,1,,Head
00164,1,,Head
00165,1,,Head
00166,1,,Head
00167,1,,Head
00168,1,,Head
00169,1,,Head
0016T,3,,Various Services - Category III Codes
00170,1,,Head
00171,1,,Head
00172,1,,Head
00173,1,,Head
00174,1,,Head
00175,1,,Head
00176,1,,Head
00177,1,,Head
00178,1,,Head
00179,1,,Head
0017T,3,,Various Services - Category III Codes
00180,1,,Head
00181,1,,Head
