itemid,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
220001,Problem List,Problem List,chartevents,General,,Text,,
220003,ICU Admission date,ICU Admission date,datetimeevents,ADT,,Date and time,,
220045,Heart Rate,HR,chartevents,Routine Vital Signs,bpm,Numeric,,
220046,Heart rate Alarm - High,HR Alarm - High,chartevents,Alarms,bpm,Numeric,,
220047,Heart Rate Alarm - Low,HR Alarm - Low,chartevents,Alarms,bpm,Numeric,,
220048,Heart Rhythm,Heart Rhythm,chartevents,Routine Vital Signs,,Text,,
220050,Arterial Blood Pressure systolic,ABPs,chartevents,Routine Vital Signs,mmHg,Numeric,90,140
220051,Arterial Blood Pressure diastolic,ABPd,chartevents,Routine Vital Signs,mmHg,Numeric,60,90
220052,Arterial Blood Pressure mean,ABPm,chartevents,Routine Vital Signs,mmHg,Numeric,,
220056,Arterial Blood Pressure Alarm - Low,ABP Alarm - Low,chartevents,Alarms,mmHg,Numeric,,
220058,Arterial Blood Pressure Alarm - High,ABP Alarm - High,chartevents,Alarms,mmHg,Numeric,,
220059,Pulmonary Artery Pressure systolic,PAPs,chartevents,Hemodynamics,mmHg,Numeric,15,25
220060,Pulmonary Artery Pressure diastolic,PAPd,chartevents,Hemodynamics,mmHg,Numeric,8,15
220061,Pulmonary Artery Pressure mean,PAPm,chartevents,Hemodynamics,mmHg,Numeric,10,20
220063,Pulmonary Artery Pressure Alarm - High,PAP Alarm - High,chartevents,Alarms,mmHg,Numeric,,
220066,Pulmonary Artery Pressure Alarm - Low,PAP Alarm - Low,chartevents,Alarms,mmHg,Numeric,,
220069,Left Artrial Pressure,LAP,chartevents,Hemodynamics,mmHg,Numeric,6,12
220072,Central Venous Pressure Alarm - High,CVP Alarm - High,chartevents,Alarms,mmHg,Numeric,,
220073,Central Venous Pressure  Alarm - Low,CVP Alarm - Low,chartevents,Alarms,mmHg,Numeric,,
220074,Central Venous Pressure,CVP,chartevents,Hemodynamics,mmHg,Numeric,,
220088,Cardiac Output (thermodilution),CO (thermodilution),chartevents,Hemodynamics,L/min,Numeric,4,8
220120,Intra Aortic Ballon Pump Setting,Intra Aortic Ballon Pump Setting,chartevents,IABP,,Text,,
220125,Left Ventricular Assit Device Flow,LVAD,chartevents,Hemodynamics,L/min,Numeric,,
220128,Right Ventricular Assist Device Flow,RVAD,chartevents,Hemodynamics,L/min,Numeric,,
220179,Non Invasive Blood Pressure systolic,NBPs,chartevents,Routine Vital Signs,mmHg,Numeric,,
220180,Non Invasive Blood Pressure diastolic,NBPd,chartevents,Routine Vital Signs,mmHg,Numeric,,
220181,Non Invasive Blood Pressure mean,NBPm,chartevents,Routine Vital Signs,mmHg,Numeric,,
220194,Temporary AV interval,Temp AV interval,chartevents,Cardiovascular (Pacer Data),msec,Numeric,,
220210,Respiratory Rate,RR,chartevents,Respiratory,insp/min,Numeric,,
220218,Vital Capacity,VC,chartevents,Respiratory,Liters,Numeric,,
220224,Arterial O2 pressure,PO2 (Arterial),chartevents,Labs,mmHg,Numeric,,
220227,Arterial O2 Saturation,SaO2,chartevents,Labs,%,Numeric,,
220228,Hemoglobin,Hemoglobin,chartevents,Labs,g/dl,Numeric,,
220235,Arterial CO2 Pressure,PCO2 (Arterial),chartevents,Labs,mmHg,Numeric,,
220245,CO2 production,CO2 production,chartevents,Respiratory,ml/min,Numeric,,
220274,PH (Venous),PH (Venous),chartevents,Labs,None,Numeric,,
220277,O2 saturation pulseoxymetry,SpO2,chartevents,Respiratory,%,Numeric,,
220283,Resistance,Resistance,chartevents,Respiratory,cmH2O/L/seconds,Numeric,,
220292,Minute Volume Alarm - Low,MV Alarm - Low,chartevents,Alarms,L/min,Numeric,,
